iter	Passed	Remaining
0	33	66910
1	65	65310
2	95	63874
3	141	70840
4	172	68755
5	210	70084
6	240	68520
7	523	130387
8	598	132368
9	641	127623
10	672	121575
11	702	116349
12	734	112338
13	764	108419
14	806	106772
15	836	103728
16	866	101047
17	897	98789
18	940	98064
19	971	96212
20	1002	94479
21	1036	93187
22	1068	91880
23	1104	90898
24	1157	91458
25	1184	89943
26	1211	88564
27	1236	87060
28	1270	86355
29	1298	85282
30	1326	84240
31	1352	83161
32	1381	82324
33	1406	81304
34	1431	80368
35	1475	80502
36	1500	79586
37	1524	78701
38	1548	77871
39	1592	78019
40	1894	90518
41	1924	89719
42	1954	88969
43	2024	90018
44	2049	89037
45	2076	88214
46	2102	87346
47	2131	86665
48	2156	85853
49	2183	85151
50	2210	84460
51	2241	83988
52	2265	83232
53	2304	83030
54	2340	82773
55	2367	82186
56	2396	81674
57	2434	81500
58	2460	80960
59	2485	80361
60	2510	79793
61	2541	79438
62	2564	78847
63	2597	78563
64	2639	78563
65	2687	78754
66	2712	78247
67	2736	77740
68	2762	77307
69	2775	76515
70	2802	76142
71	2826	75675
72	2867	75701
73	2922	76066
74	3125	80233
75	3172	80320
76	3210	80185
77	3235	79715
78	3262	79328
79	3290	78970
80	3313	78506
81	3341	78148
82	3365	77738
83	3395	77459
84	3424	77142
85	3457	76954
86	3488	76711
87	3514	76361
88	3541	76044
89	3583	76055
90	3611	75766
91	3638	75469
92	3675	75373
93	3701	75054
94	3733	74872
95	3786	75098
96	3812	74803
97	3839	74525
98	3881	74539
99	3907	74249
100	3934	73970
101	3961	73719
102	3984	73390
103	4009	73101
104	4039	72898
105	4069	72720
106	4099	72519
107	4124	72252
108	4397	76294
109	4477	76931
110	4513	76813
111	4544	76600
112	4572	76357
113	4629	76594
114	4657	76348
115	4687	76133
116	4713	75858
117	4752	75797
118	4781	75587
119	4815	75438
120	4846	75266
121	4873	75019
122	4903	74827
123	4943	74786
124	4975	74631
125	5029	74796
126	5060	74630
127	5090	74447
128	5119	74254
129	5200	74808
130	5232	74658
131	5265	74514
132	5311	74558
133	5337	74326
134	5365	74122
135	5418	74266
136	5446	74066
137	5565	75098
138	5707	76408
139	5743	76307
140	5777	76169
141	5805	75960
142	5834	75766
143	5873	75708
144	5936	75941
145	5967	75774
146	5998	75619
147	6028	75441
148	6059	75275
149	6088	75091
150	6119	74938
151	6147	74736
152	6176	74557
153	6219	74547
154	6245	74341
155	6268	74101
156	6294	73885
157	6323	73724
158	6349	73514
159	6379	73364
160	6413	73259
161	6439	73056
162	6471	72931
163	6495	72714
164	6524	72559
165	6554	72413
166	6587	72309
167	6618	72167
168	6646	72010
169	6686	71974
170	7002	74901
171	7035	74774
172	7074	74716
173	7101	74520
174	7129	74348
175	7155	74154
176	7182	73979
177	7207	73776
178	7246	73721
179	7281	73623
180	7309	73462
181	7336	73283
182	7374	73224
183	7402	73055
184	7438	72982
185	7465	72810
186	7491	72633
187	7524	72522
188	7556	72406
189	7588	72286
190	7615	72129
191	7656	72094
192	7682	71925
193	7712	71794
194	7750	71739
195	7778	71596
196	7812	71505
197	7840	71352
198	7866	71195
199	7901	71110
200	7935	71026
201	7962	70877
202	7992	70747
203	8228	72440
204	8359	73200
205	8392	73085
206	8428	73002
207	8497	73205
208	8527	73072
209	8552	72896
210	8580	72751
211	8607	72595
212	8638	72475
213	8683	72467
214	8710	72317
215	8739	72181
216	8774	72094
217	8804	71974
218	8828	71799
219	8869	71758
220	8897	71619
221	8928	71507
222	8959	71393
223	8989	71273
224	9013	71104
225	9071	71209
226	9099	71070
227	9128	70943
228	9155	70804
229	9182	70661
230	9211	70542
231	9241	70425
232	9269	70296
233	9299	70185
234	9338	70137
235	9498	70999
236	9604	71447
237	9639	71362
238	9673	71274
239	9704	71169
240	9733	71040
241	9764	70934
242	9794	70817
243	9837	70797
244	9865	70669
245	9892	70533
246	9928	70462
247	9955	70333
248	9996	70298
249	10028	70200
250	10056	70073
251	10084	69954
252	10120	69884
253	10149	69767
254	10216	69909
255	10269	69960
256	10308	69915
257	10335	69787
258	10370	69713
259	10393	69554
260	10421	69433
261	10459	69385
262	10489	69277
263	10516	69155
264	10556	69112
265	10582	68983
266	10835	70328
267	10937	70683
268	10972	70605
269	11011	70554
270	11040	70439
271	11069	70321
272	11098	70208
273	11129	70107
274	11154	69968
275	11191	69906
276	11222	69803
277	11254	69710
278	11281	69588
279	11318	69530
280	11347	69416
281	11384	69357
282	11430	69348
283	11467	69291
284	11494	69170
285	11522	69057
286	11553	68961
287	11582	68854
288	11614	68763
289	11644	68662
290	11670	68540
291	11711	68506
292	11740	68400
293	11765	68271
294	11801	68210
295	11830	68107
296	11853	67970
297	11882	67863
298	11912	67769
299	12130	68741
300	12170	68696
301	12204	68620
302	12269	68720
303	12299	68619
304	12328	68514
305	12364	68451
306	12424	68515
307	12452	68408
308	12483	68314
309	12520	68255
310	12550	68158
311	12596	68152
312	12629	68068
313	12661	67985
314	12691	67887
315	12722	67801
316	12750	67696
317	12782	67610
318	12815	67534
319	12842	67420
320	12897	67461
321	12945	67460
322	12978	67385
323	13005	67274
324	13042	67217
325	13070	67116
326	13100	67022
327	13131	66937
328	13361	67864
329	13485	68245
330	13517	68158
331	13554	68100
332	13584	68002
333	13626	67971
334	13658	67883
335	13689	67795
336	13733	67771
337	13759	67655
338	13788	67560
339	13829	67520
340	13859	67429
341	13893	67353
342	13922	67259
343	13953	67172
344	13983	67082
345	14017	67009
346	14043	66900
347	14070	66792
348	14110	66753
349	14139	66659
350	14169	66568
351	14207	66517
352	14235	66420
353	14265	66329
354	14295	66241
355	14326	66159
356	14354	66064
357	14380	65955
358	14409	65865
359	14523	66164
360	14841	67383
361	14881	67338
362	14923	67300
363	14955	67217
364	14987	67137
365	15017	67045
366	15047	66954
367	15075	66854
368	15101	66751
369	15144	66717
370	15167	66596
371	15195	66500
372	15238	66467
373	15261	66349
374	15290	66259
375	15329	66208
376	15361	66133
377	15429	66209
378	15485	66232
379	15510	66123
380	15541	66042
381	15600	66079
382	15631	65993
383	15657	65893
384	15695	65839
385	15725	65754
386	15761	65692
387	15803	65659
388	15838	65591
389	15970	65927
390	16207	66693
391	16243	66630
392	16279	66566
393	16316	66509
394	16344	66413
395	16377	66338
396	16421	66305
397	16450	66216
398	16487	66156
399	16525	66101
400	16552	66003
401	16583	65922
402	16613	65835
403	16643	65749
404	16669	65650
405	16707	65594
406	16736	65505
407	16768	65428
408	16801	65359
409	16836	65292
410	16882	65269
411	16925	65235
412	16954	65149
413	16981	65054
414	17019	65000
415	17048	64916
416	17088	64870
417	17132	64840
418	17161	64756
419	17190	64668
420	17312	64933
421	17458	65283
422	17491	65211
423	17524	65139
424	17553	65052
425	17579	64954
426	17611	64877
427	17638	64783
428	17667	64699
429	17705	64644
430	17734	64559
431	17761	64466
432	17798	64413
433	17824	64314
434	17863	64266
435	17891	64179
436	17919	64091
437	17954	64027
438	17987	63960
439	18017	63878
440	18045	63794
441	18077	63720
442	18106	63639
443	18147	63599
444	18190	63564
445	18220	63486
446	18256	63427
447	18301	63402
448	18343	63364
449	18373	63287
450	18413	63242
451	18450	63188
452	18700	63861
453	18813	64064
454	18846	63993
455	18885	63946
456	18937	63940
457	18971	63872
458	19018	63851
459	19054	63790
460	19082	63705
461	19113	63630
462	19147	63563
463	19178	63486
464	19205	63399
465	19242	63343
466	19264	63238
467	19293	63158
468	19340	63135
469	19372	63062
470	19399	62977
471	19425	62885
472	19451	62795
473	19478	62708
474	19506	62625
475	19538	62556
476	19563	62463
477	19593	62387
478	19636	62352
479	19665	62274
480	19701	62217
481	19733	62148
482	19760	62063
483	19821	62084
484	20038	62595
485	20075	62539
486	20102	62453
487	20135	62386
488	20167	62318
489	20192	62224
490	20231	62176
491	20253	62077
492	20296	62041
493	20325	61964
494	20355	61889
495	20384	61810
496	20444	61827
497	20475	61753
498	20518	61721
499	20554	61664
500	20583	61584
501	20618	61526
502	20652	61465
503	20682	61389
504	20732	61376
505	20761	61300
506	20792	61228
507	20838	61201
508	20882	61171
509	20917	61112
510	20969	61102
511	21017	61081
512	21060	61047
513	21394	61853
514	21433	61802
515	21535	61934
516	21584	61914
517	21618	61851
518	21647	61772
519	21693	61743
520	21733	61697
521	21761	61615
522	21789	61536
523	21862	61581
524	21894	61512
525	21931	61456
526	21960	61381
527	21992	61312
528	22018	61226
529	22048	61152
530	22079	61081
531	22101	60987
532	22130	60912
533	22161	60841
534	22187	60756
535	22213	60673
536	22255	60633
537	22283	60553
538	22309	60470
539	22353	60437
540	22385	60369
541	22430	60338
542	22758	61066
543	22799	61023
544	22835	60964
545	22869	60902
546	22899	60827
547	22927	60750
548	22961	60688
549	22985	60598
550	23011	60514
551	23058	60488
552	23088	60412
553	23117	60339
554	23154	60285
555	23190	60229
556	23221	60158
557	23262	60116
558	23293	60046
559	23339	60015
560	23373	59955
561	23408	59896
562	23436	59819
563	23477	59775
564	23506	59702
565	23534	59626
566	23591	59624
567	23621	59551
568	23653	59487
569	23690	59433
570	23718	59359
571	23756	59309
572	23896	59511
573	24028	59694
574	24058	59622
575	24125	59643
576	24157	59576
577	24185	59501
578	24218	59437
579	24241	59350
580	24273	59283
581	24309	59229
582	24339	59158
583	24369	59086
584	24409	59041
585	24441	58977
586	24469	58901
587	24499	58831
588	24529	58762
589	24565	58706
590	24622	58701
591	24651	58630
592	24682	58563
593	24716	58504
594	24748	58439
595	24783	58382
596	24837	58369
597	24867	58301
598	24899	58237
599	24937	58186
600	24968	58121
