iter	RMSE
0	57.35445938
1	56.94678927
2	56.53851384
3	56.10506693
4	55.75129324
5	55.3379239
6	55.02446679
7	54.71573454
8	54.43124093
9	54.16068395
10	53.89805603
11	53.64626345
12	53.42278461
13	53.19316563
14	52.97695577
15	52.71118235
16	52.43675932
17	52.25564237
18	52.08703466
19	51.91613057
20	51.69579865
21	51.47392875
22	51.32565852
23	51.10876538
24	50.95256288
25	50.80872444
26	50.62853132
27	50.47815129
28	50.36052766
29	50.25156148
30	50.08888245
31	49.94168766
32	49.83986134
33	49.74532759
34	49.65831798
35	49.52396422
36	49.37667734
37	49.2541562
38	49.1834554
39	49.07560942
40	49.00397395
41	48.93509923
42	48.83295546
43	48.77293331
44	48.66350697
45	48.56165415
46	48.5118027
47	48.40657252
48	48.33415138
49	48.25088742
50	48.18113597
51	48.12517905
52	48.07170091
53	47.98672622
54	47.90540068
55	47.82571567
56	47.75129135
57	47.68549025
58	47.59749097
59	47.54959194
60	47.48364361
61	47.42483392
62	47.38876492
63	47.30841866
64	47.2456667
65	47.20640194
66	47.14141964
67	47.10297507
68	47.04424489
69	47.01209529
70	46.97301248
71	46.91621657
72	46.85694309
73	46.80722255
74	46.75503014
75	46.72237876
76	46.69481604
77	46.66158507
78	46.62316044
79	46.59805774
80	46.54847496
81	46.50275297
82	46.48265599
83	46.45541082
84	46.41684843
85	46.36529449
86	46.32208882
87	46.30207714
88	46.26921594
89	46.2202655
90	46.19883934
91	46.17330472
92	46.14749713
93	46.12491586
94	46.09470434
95	46.06240782
96	46.04003301
97	46.00424669
98	45.9763341
99	45.95926721
100	45.93003581
101	45.90605388
102	45.86884893
103	45.84796824
104	45.82200546
105	45.79176932
106	45.75493578
107	45.71565012
108	45.67691884
109	45.6638238
110	45.63826805
111	45.62006349
112	45.60015414
113	45.58415818
114	45.56225457
115	45.53243513
116	45.52647738
117	45.51493381
118	45.4975348
119	45.46997697
120	45.45345227
121	45.43535595
122	45.4178745
123	45.40459532
124	45.39040332
125	45.38016611
126	45.37268524
127	45.35316723
128	45.34932488
129	45.33411251
130	45.3244736
131	45.31186335
132	45.30411528
133	45.28537294
134	45.27584767
135	45.25838974
136	45.23771761
137	45.21676069
138	45.20678188
139	45.18202769
140	45.17186979
141	45.15977356
142	45.14503501
143	45.13640763
144	45.12468901
145	45.11059589
146	45.10291922
147	45.09551845
148	45.06560346
149	45.05992045
150	45.05085403
151	45.0438718
152	45.03847289
153	45.02828367
154	45.0229965
155	45.01270962
156	45.00191793
157	44.99710738
158	44.98934669
159	44.97585088
160	44.96425204
161	44.95566919
162	44.94543167
163	44.93489293
164	44.92631716
165	44.91633848
166	44.90922847
167	44.88944834
168	44.88605864
169	44.87697366
170	44.86424045
171	44.86143581
172	44.83762714
173	44.82651164
174	44.82157934
175	44.80532854
176	44.80349377
177	44.7934533
178	44.77989052
179	44.76747954
180	44.75941756
181	44.75155028
182	44.73945444
183	44.73305391
184	44.72723921
185	44.71274295
186	44.70121161
187	44.6749751
188	44.65352076
189	44.6450545
190	44.64158296
191	44.63507656
192	44.6256642
193	44.61997729
194	44.61292926
195	44.60760893
196	44.59583237
197	44.58466855
198	44.58091409
199	44.57982561
200	44.55952078
201	44.55861405
202	44.54693463
203	44.54010822
204	44.52618985
205	44.5195192
206	44.51510787
207	44.5084643
208	44.50347348
209	44.48832093
210	44.47997874
211	44.47500496
212	44.46755548
213	44.46390785
214	44.4607512
215	44.44706082
216	44.43404715
217	44.42775708
218	44.42471866
219	44.42166136
220	44.41545145
221	44.4089325
222	44.40612736
223	44.39573959
224	44.37805396
225	44.37311796
226	44.37031017
227	44.36210665
228	44.3514198
229	44.34859825
230	44.33553213
231	44.33390145
232	44.33040602
233	44.32118622
234	44.30898179
235	44.30599405
236	44.30244586
237	44.29158816
238	44.28749056
239	44.28441363
240	44.27514065
241	44.27074229
242	44.26638622
243	44.25888351
244	44.24738138
245	44.23590742
246	44.23226615
247	44.22968991
248	44.21902138
249	44.21512203
250	44.2124512
251	44.20759296
252	44.20160387
253	44.19901714
254	44.1782429
255	44.17348352
256	44.16684984
257	44.16267361
258	44.1601596
259	44.15593222
260	44.15300413
261	44.15017941
262	44.14690335
263	44.14453877
264	44.13303202
265	44.1300772
266	44.11867446
267	44.11412921
268	44.11100752
269	44.10160317
270	44.09910881
271	44.08835572
272	44.07411565
273	44.06983962
274	44.0549897
275	44.03707794
276	44.03462332
277	44.03172514
278	44.02336162
279	44.01906013
280	44.00046294
281	43.98996631
282	43.98509718
283	43.97887122
284	43.97412471
285	43.97051
286	43.96808661
287	43.96144133
288	43.9558732
289	43.95254454
290	43.948092
291	43.94543893
292	43.93958714
293	43.93491894
294	43.92368965
295	43.91699216
296	43.90579274
297	43.89754311
298	43.87974901
299	43.87549846
300	43.87158248
301	43.86923822
302	43.85987979
303	43.85807746
304	43.85323657
305	43.85048428
306	43.84564663
307	43.84160716
308	43.83255807
309	43.82726708
310	43.82494776
311	43.82043451
312	43.81710633
313	43.81463372
314	43.80583905
315	43.78771423
316	43.7823188
317	43.76811139
318	43.7659168
319	43.75827529
320	43.75000527
321	43.74699683
322	43.73614347
323	43.73180506
324	43.72746754
325	43.72607144
326	43.71745324
327	43.71519185
328	43.70864955
329	43.70378047
330	43.70113049
331	43.69814263
332	43.69387496
333	43.69127815
334	43.68597234
335	43.67964874
336	43.67449228
337	43.66410993
338	43.65694923
339	43.65013203
340	43.64697749
341	43.6431456
342	43.63298762
343	43.62730142
344	43.61771172
345	43.61125575
346	43.60673295
347	43.59321602
348	43.59133626
349	43.58977731
350	43.58689028
351	43.58021949
352	43.57814845
353	43.56365966
354	43.55717361
355	43.55527457
356	43.55144223
357	43.54322341
358	43.53889593
359	43.53295626
360	43.52682304
361	43.51920023
362	43.51491891
363	43.49892152
364	43.49701337
365	43.4955391
366	43.49221937
367	43.48698
368	43.48051833
369	43.47520484
370	43.47306956
371	43.47107914
372	43.46771601
373	43.465744
374	43.45925898
375	43.44339989
376	43.43422618
377	43.42711418
378	43.42294117
379	43.41610173
380	43.40767174
381	43.40361472
382	43.39880591
383	43.39158866
384	43.38691682
385	43.38058655
386	43.37656887
387	43.37411934
388	43.37238975
389	43.35896392
390	43.35753252
391	43.35593919
392	43.35097656
393	43.34847297
394	43.34496296
395	43.34241277
396	43.33494362
397	43.32830032
398	43.32658188
399	43.3249185
400	43.3189855
401	43.31586245
402	43.30606122
403	43.29748099
404	43.2959748
405	43.29379306
