iter	Passed	Remaining
0	440	881486
1	824	824134
2	950	632522
3	997	497645
4	1421	567034
5	1806	600493
6	2207	628470
7	2661	662668
8	3062	677433
9	3448	686337
10	3884	702438
11	4283	709708
12	4703	718953
13	5091	722266
14	5479	725104
15	5724	709787
16	6112	713031
17	6125	674451
18	6507	678527
19	6913	684414
20	7297	687703
21	7691	691540
22	8121	698107
23	8510	700714
24	8898	702973
25	9304	706460
26	9691	708176
27	10064	708837
28	10510	714384
29	10631	698148
30	11014	699604
31	11430	702962
32	11828	705027
33	12218	706488
34	12655	710489
35	13043	711617
36	13476	714981
37	13877	716495
38	14264	717258
39	14686	719656
40	15085	720805
41	15480	721687
42	15927	724898
43	16325	725737
44	16755	727933
45	17138	728016
46	17531	728503
47	17982	731307
48	18380	731848
49	18780	732452
50	19261	736089
51	19649	736098
52	20083	737792
53	20496	738638
54	20889	738729
55	21318	740064
56	21711	740083
57	22095	739831
58	22528	741155
59	22919	741074
60	23352	742296
61	23746	742280
62	24148	742467
63	24611	744500
64	25002	744300
65	25390	744007
66	25807	744570
67	26196	744299
68	26593	744230
69	26982	743938
70	27367	743546
71	27790	744173
72	28183	743956
73	28578	743802
74	29004	744436
75	29404	744389
76	29799	744213
77	30277	746070
78	30668	745744
79	31074	745798
80	31465	745451
81	31850	744988
82	32285	745687
83	32676	745339
84	33066	744973
85	33487	745292
86	33881	745008
87	34311	745499
88	34702	745134
89	35091	744726
90	35539	745540
91	35927	745104
92	36331	744998
93	36772	745630
94	37163	745226
95	37594	745620
96	37987	745255
97	38376	744813
98	38805	745152
99	39194	744688
100	39584	744269
101	40021	744721
102	40410	744256
103	40870	745092
104	41263	744704
105	41648	744168
106	41666	737139
107	42102	737566
108	42496	737252
109	42894	737001
110	43344	737640
111	43732	737208
112	44146	737212
113	44536	736807
114	44924	736363
115	45348	736519
116	45770	736629
117	46235	737409
118	46666	737638
119	47052	737154
120	47457	736968
121	47846	736528
122	48238	736126
123	48673	736381
124	49069	736045
125	49460	735621
126	49910	736084
127	50299	735624
128	50717	735605
129	51121	735369
130	51534	735256
131	51981	735620
132	52377	735256
133	52774	734902
134	53219	735222
135	53613	734820
136	54046	734951
137	54440	734548
138	54833	734139
139	55259	734165
140	55655	733785
141	56057	733488
142	56500	733721
143	56895	733315
144	57346	733634
145	57737	733188
146	58133	732793
147	58577	733004
148	58973	732618
149	59369	732218
150	59820	732509
151	60213	732067
152	60641	732052
153	61036	731646
154	61441	731350
155	61849	731089
156	62248	730729
157	62642	730301
158	63140	731079
159	63531	730613
160	63938	730334
161	64330	729868
162	64723	729433
163	65169	729576
164	65583	729371
165	65981	728972
166	66433	729172
167	66833	728799
168	67237	728467
169	67631	728035
170	68030	727643
171	68478	727787
172	68878	727401
173	69279	727033
174	69726	727148
175	70129	726799
176	70557	726705
177	70948	726229
178	71342	725782
179	71780	725782
180	72175	725340
181	72203	721245
182	72609	720934
