iter	RMSE	MAE
0	57.81623813	32.50545153
1	57.43858871	32.1122073
2	57.01781462	31.71692813
3	56.66393408	31.35803747
4	56.40567856	31.045279
5	56.06363517	30.70937871
6	55.71318115	30.3713952
7	55.38402622	30.05259505
8	55.12612651	29.75857779
9	54.81238444	29.4568627
10	54.58050146	29.19148359
11	54.26961754	28.90993929
12	53.96873881	28.64035516
13	53.73212722	28.40498096
14	53.50332651	28.16806742
15	53.28561042	27.93841821
16	53.06753439	27.72181244
17	52.917624	27.54394007
18	52.74100186	27.33872858
19	52.53605722	27.13148846
20	52.34076813	26.9380789
21	52.12185868	26.72431622
22	51.9388278	26.5480103
23	51.73632429	26.37020682
24	51.53701228	26.17715541
25	51.36214933	26.01022959
26	51.18569264	25.83195596
27	51.04672506	25.68039591
28	50.9150195	25.54057346
29	50.75954233	25.39539205
30	50.63587463	25.26143726
31	50.50677525	25.13407567
32	50.41322952	25.02147535
33	50.29879495	24.90440467
34	50.19628936	24.79150604
35	50.10196597	24.68003118
36	49.95961018	24.5506086
37	49.85411402	24.44798863
38	49.77987436	24.35879327
39	49.69143625	24.26256842
40	49.60928686	24.17163248
41	49.4934497	24.06723319
42	49.40066276	23.97652466
43	49.31600066	23.88832133
44	49.20711589	23.7878985
45	49.12114199	23.70160598
46	49.00347476	23.597925
47	48.89724456	23.51308671
48	48.78428624	23.41581364
49	48.7193031	23.34710996
50	48.62961875	23.27437067
51	48.56125734	23.20450741
52	48.43357268	23.11134836
53	48.33497356	23.03242666
54	48.25905948	22.95943115
55	48.20230608	22.89857442
56	48.12661344	22.83616393
57	48.07472921	22.78231388
58	48.00989887	22.71783422
59	47.96233363	22.66441254
60	47.89029532	22.59592257
61	47.82084267	22.54107821
62	47.77235854	22.49128214
63	47.67715151	22.41524362
64	47.60670312	22.3554037
65	47.53047407	22.2920037
66	47.46526425	22.23828008
67	47.43209962	22.19721173
68	47.37482483	22.145324
69	47.32936844	22.09869405
70	47.2448252	22.04239301
71	47.19622352	22.00124407
72	47.15099182	21.96100976
73	47.09901503	21.92078103
74	47.05195964	21.87663837
75	47.00785901	21.84387734
76	46.96772862	21.81087791
77	46.93686891	21.78090596
78	46.91165919	21.75671789
79	46.86101684	21.71624713
80	46.83004069	21.68977609
81	46.73367064	21.64566286
82	46.71389329	21.61972305
83	46.69118646	21.59641793
84	46.65974514	21.56434469
85	46.59706756	21.52885716
86	46.56713794	21.50255145
87	46.52587506	21.47304214
88	46.50427623	21.45187713
89	46.46722637	21.42248726
90	46.44275257	21.39896391
91	46.41669132	21.37731535
92	46.40393355	21.35913334
93	46.39372987	21.34758194
94	46.36454607	21.32099365
95	46.31652397	21.29149327
96	46.28238934	21.2694022
97	46.21901361	21.23446242
98	46.16209372	21.20448247
99	46.1404911	21.18632488
100	46.10709076	21.16970022
101	46.08193754	21.15193253
102	46.0510781	21.12844269
103	46.01203709	21.11132835
104	45.98614044	21.09790986
105	45.91257273	21.06754669
106	45.87782049	21.04731813
107	45.86101691	21.0293792
108	45.81491918	21.00671091
109	45.78768006	20.98621118
110	45.77340208	20.97326394
111	45.7603098	20.96308444
112	45.74631452	20.95022765
113	45.72604385	20.93993878
114	45.68382621	20.91442569
115	45.65079047	20.89601201
116	45.6199243	20.87929111
117	45.60894397	20.86684367
118	45.58958312	20.8516053
119	45.57690375	20.84176753
120	45.53460858	20.81762049
121	45.52112955	20.80690598
122	45.49949364	20.7926602
123	45.46228338	20.77399885
124	45.45768229	20.76554317
125	45.43666501	20.75290078
126	45.4193936	20.74090068
127	45.41198587	20.7338241
128	45.39950794	20.7256328
129	45.38637034	20.71365473
130	45.36526074	20.69936719
131	45.31639241	20.67581973
132	45.29175201	20.65956929
133	45.27858609	20.64906393
134	45.22380211	20.62630426
135	45.18160135	20.61003369
136	45.17335513	20.60366329
137	45.13326941	20.58949366
138	45.11422434	20.57689605
139	45.08727071	20.56353644
140	45.05991791	20.5535897
141	45.01517773	20.53421997
142	45.0074806	20.52807183
143	44.99274487	20.51923654
144	44.97659267	20.50946257
145	44.96851567	20.50216628
146	44.96415571	20.49657897
147	44.94346911	20.48701439
148	44.94047769	20.48321126
149	44.92062405	20.47503852
150	44.87089924	20.45203412
151	44.82978576	20.43426301
152	44.8129278	20.42367568
153	44.79959429	20.4167964
154	44.78775247	20.40875215
155	44.78232196	20.40272375
156	44.77133507	20.39695507
157	44.75974214	20.38836722
158	44.68675994	20.36334094
159	44.60960235	20.33485783
160	44.59654298	20.32718602
161	44.57458665	20.31277489
162	44.53125948	20.29665246
163	44.52087481	20.29001354
164	44.51596771	20.28508459
165	44.480645	20.26913612
166	44.47063067	20.26233008
167	44.41720959	20.24251332
168	44.39350835	20.22797729
169	44.36320273	20.21335119
170	44.34677787	20.19982849
171	44.32339333	20.18808214
172	44.30620037	20.17484923
173	44.29456496	20.16676331
174	44.28652797	20.16027804
175	44.25431983	20.14370601
176	44.22911178	20.13229547
177	44.211869	20.1251585
178	44.20146117	20.1178333
179	44.17682664	20.10575503
180	44.15997898	20.09861638
181	44.1377242	20.09075348
182	44.12777085	20.08585138
183	44.08343633	20.06478378
184	44.049648	20.05369155
185	44.0319335	20.04285642
186	44.02462897	20.03398799
187	44.01815501	20.02551449
188	44.0118531	20.02020229
189	43.98824162	20.01232564
190	43.98111542	20.00883833
191	43.97540463	20.00255593
192	43.94557603	19.99061344
193	43.94025345	19.987007
194	43.9348572	19.982786
195	43.9241118	19.97840613
196	43.92197453	19.97650986
197	43.87391659	19.95660508
