iter	Passed	Remaining
0	205	2057407
1	407	2036769
2	608	2028890
3	804	2010042
4	1015	2030633
5	1222	2036851
6	1428	2038838
7	1625	2030244
8	1823	2024564
9	2025	2023232
10	2219	2015056
11	2421	2015729
12	2620	2012770
13	2820	2011623
14	3022	2011820
15	3227	2013845
16	3437	2018351
17	3640	2018609
18	3851	2023487
19	4062	2027144
20	4264	2026284
21	4490	2036732
22	4687	2033364
23	4891	2033215
24	5096	2033573
25	5296	2031995
26	5499	2031212
27	5704	2031580
28	5904	2030249
29	6116	2032797
30	6320	2032581
31	6513	2029052
32	6708	2026074
33	6898	2022020
34	7094	2019879
35	7325	2027535
36	7538	2029766
37	7742	2029630
38	7940	2028103
39	8205	2043245
40	8406	2041872
41	8600	2039247
42	8796	2036863
43	8995	2035532
44	9187	2032549
45	9386	2031080
46	9594	2031743
47	9821	2036251
48	10033	2037518
49	10243	2038554
50	10450	2038660
51	10654	2038262
52	10866	2039488
53	11132	2050514
54	11338	2050215
55	11549	2050776
56	11749	2049601
57	11944	2047389
58	12156	2048258
59	12371	2049509
60	12588	2051062
61	12792	2050445
62	12998	2050182
63	13205	2050105
64	13441	2054497
65	13693	2061129
66	13893	2059694
67	14094	2058637
68	14295	2057544
69	14508	2058143
70	14717	2058101
71	14912	2056268
72	15110	2054877
73	15307	2053229
74	15508	2052257
75	15693	2049257
76	15900	2049050
77	16104	2048620
78	16345	2052741
79	16563	2053881
80	16764	2052871
81	16976	2053304
82	17187	2053632
83	17397	2053719
84	17638	2057428
85	17883	2061585
86	18088	2061037
87	18300	2061272
88	18496	2059716
89	18695	2058601
90	18896	2057646
91	19103	2057366
92	19296	2055615
93	19492	2054156
94	19699	2053982
95	19911	2054220
96	20129	2055112
97	20352	2056480
98	20559	2056156
99	20770	2056288
100	20981	2056361
101	21188	2056109
102	21386	2054992
103	21591	2054477
104	21790	2053478
105	21995	2053041
106	22197	2052355
107	22407	2052373
108	22615	2052189
109	22822	2051943
110	23030	2051826
111	23224	2050397
112	23439	2050846
113	23638	2049929
114	23835	2048802
115	24036	2048082
116	24242	2047796
117	24452	2047811
118	24664	2047985
119	24862	2046993
120	25069	2046784
121	25269	2046040
122	25463	2044764
123	25667	2044270
124	25858	2042795
125	26055	2041845
126	26253	2040938
127	26455	2040347
128	26655	2039657
129	26866	2039812
130	27083	2040372
131	27280	2039423
132	27485	2039119
133	27691	2038810
134	27901	2038871
135	28107	2038623
136	28321	2038936
137	28520	2038213
138	28739	2038817
139	28949	2038855
140	29191	2041134
141	29387	2040137
142	29607	2040852
143	29827	2041544
144	30031	2041121
145	30228	2040236
146	30429	2039605
147	30627	2038824
148	30839	2038932
149	31042	2038427
150	31251	2038399
151	31447	2037488
152	31637	2036193
153	31836	2035491
154	32030	2034467
155	32227	2033665
156	32416	2032348
157	32613	2031554
158	32821	2031434
159	33038	2031871
160	33232	2030913
161	33458	2031863
162	33658	2031292
163	33855	2030528
164	34056	2029950
165	34259	2029589
166	34463	2029196
167	34661	2028513
168	34863	2028067
169	35095	2029362
170	35349	2031844
171	35544	2031024
172	35749	2030718
173	35957	2030577
174	36166	2030469
175	36370	2030159
176	36571	2029595
177	36772	2029077
178	36969	2028371
179	37168	2027756
180	37368	2027200
181	37586	2027589
182	37795	2027516
183	38004	2027439
184	38211	2027288
185	38417	2027052
186	38626	2026943
187	38857	2028015
188	39098	2029617
189	39308	2029554
190	39518	2029508
191	39739	2030008
192	39963	2030669
193	40169	2030431
194	40389	2030846
195	40606	2031165
196	40809	2030721
197	41019	2030662
198	41216	2029948
199	41411	2029184
200	41615	2028805
201	41807	2027889
202	42016	2027743
203	42220	2027431
204	42419	2026812
205	42621	2026395
206	42823	2025963
207	43025	2025505
208	43231	2025267
209	43432	2024764
210	43639	2024570
211	43838	2023994
212	44036	2023390
213	44242	2023169
214	44438	2022463
215	44651	2022529
216	44860	2022459
217	45081	2022865
218	45288	2022684
219	45483	2021954
220	45682	2021408
221	45886	2021060
222	46086	2020551
223	46291	2020306
224	46486	2019596
225	46682	2018898
226	46886	2018589
227	47110	2019122
228	47320	2019093
229	47522	2018675
230	47718	2018036
231	47922	2017694
232	48132	2017631
233	48384	2019339
234	48606	2019763
235	48822	2019930
236	49030	2019779
237	49233	2019411
238	49433	2018908
239	49642	2018793
240	49853	2018754
241	50055	2018350
242	50264	2018221
243	50469	2017956
244	50670	2017530
245	50867	2016923
246	51069	2016509
247	51267	2015973
248	51477	2015888
249	51693	2016048
250	51894	2015610
251	52100	2015370
252	52305	2015104
253	52507	2014708
254	52704	2014153
255	52906	2013766
256	53117	2013699
257	53338	2014054
258	53546	2013891
259	53743	2013322
260	53941	2012796
261	54138	2012215
262	54333	2011563
263	54543	2011511
264	54742	2011000
265	54949	2010830
266	55158	2010707
267	55367	2010599
268	55573	2010362
269	55773	2009927
270	55979	2009693
271	56195	2009822
272	56416	2010120
273	56629	2010155
274	56840	2010080
275	57061	2010386
276	57283	2010715
277	57581	2013711
278	57807	2014160
279	58035	2014664
280	58259	2015032
281	58474	2015076
282	58712	2015941
283	58937	2016326
284	59167	2016885
285	59394	2017322
286	59616	2017605
287	59834	2017756
288	60051	2017865
289	60271	2018048
290	60472	2017629
291	60679	2017371
292	60889	2017239
293	61115	2017637
294	61331	2017698
295	61537	2017422
296	61747	2017294
297	61963	2017334
298	62170	2017099
299	62374	2016786
300	62577	2016423
301	62783	2016127
302	62990	2015907
303	63186	2015315
304	63389	2014942
305	63591	2014570
306	63806	2014592
307	64009	2014210
308	64211	2013843
309	64414	2013472
310	64612	2012959
311	64831	2013098
312	65034	2012739
313	65246	2012658
314	65444	2012158
315	65662	2012254
316	65876	2012239
317	66093	2012322
318	66354	2013733
319	66568	2013686
320	66772	2013355
321	66978	2013084
322	67179	2012693
323	67407	2013058
324	67613	2012807
325	67827	2012782
326	68064	2013413
327	68263	2012943
328	68472	2012760
